Title,Authors,Abstract,Year,Publisher,Link,Author Keywords
Machine learning on academic education: Bibliometric studies,"Tjahyaningtijas, H.P.A.; Husin, N.; Habib, H.A.; Asmunin, A.; Wibawa, R.P.; Sumarno, A.; Paragas, J.R.; Susantini, E.","The use of Machine Learning exhibits significant promise in facilitating advancements in the field of education. It is vital to conduct a comprehensive review of existing research to ascertain the significance of utilizing Machine Learning as a viable approach to enhance educational advancements. This bibliometric analysis provides a comprehensive overview of the advancements in the application of machine learning techniques within the field of education. This study utilizes publication and citation data from many academic literature sources to elucidate prominent patterns, areas of research emphasis, and scholarly collaborations within this field. The findings of the bibliometric analysis reveal a significant increase in scholarly attention toward the application of machine learning in the field of education during the past several years. The scope of these investigations encompasses a diverse array of subjects, such as personalized learning, predictive analytics, automated evaluation, learning recommendations, and online exam proctoring. The findings of this study also demonstrate a notable rise in the level of collaboration among scholars from many fields, highlighting the significance of interdisciplinary approaches in tackling the intricate challenges associated with the integration of machine learning in education. © 2023 EDP Sciences. All rights reserved.",2023,EDP Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180573677&doi=10.1051%2Fe3sconf%2F202345002010&partnerID=40&md5=920f51e330e35727f9552d0279340ebf,
Categorical encoder based performance comparison in preprocessing imbalanced multiclass classification,"Yustanti, W.; Iriawan, N.; Irhamah, I.","The contribution of this study is to offer suggestions for coding techniques for categorical predictor variables and comprehensive test scenarios to obtain significant performance results for imbalanced multiclass classification problems. We modify scenarios in the data mining process with the sample, explore, modify, model, and assess (SEMMA) framework coupled with statistical hypothesis testing to generalize the model performance evaluation conclusions as enhanced-SEMMA. We selected four open-source data sets with unequal class distributions and categorical predictors. Ordinal, nominal, dirichlet, frequency, target, leave one, one hot, dummy, binary, and hashing encoder methods are used. We use the grid-search technique to find the best hyperparameters. The F1-Score and area under the curve (AUC) are evaluated to select the optimal model. In all datasets with 10-fold stratified cross-validation and 95% to 99% accuracy for each dataset, the results show that support vector machine (SVM) outperforms the decision tree (DT) K-nearest neighbor (KNN), Naïve Bayes (NB), logistic regression (LR), and random forest (RF) algorithms. Probability-based or binary encodings, such as target, Dirichlet, dummy, one-hot, or binary, are best for situations with less than 3% of minor class proportions. Nominal or ordinal encoders are preferred for data with a minor class proportion of more than 3%. © 2023 Institute of Advanced Engineering and Science. All rights reserved.",2023,Institute of Advanced Engineering and Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171747204&doi=10.11591%2Fijeecs.v31.i3.pp1705-1715&partnerID=40&md5=a0d0bc614a690358acfdd86beaf57af1,
Quickly understanding of android-based application athlete's buddy to balancing the athlete physical nutrition,"Wibawa, S.C.; Sulistiyo, E.; Sujatmiko, B.; Nareswari, A.R.; Handoyo, E.; Susilowibowo, J.; Bachri, B.S.","The 2021 PON XX Papua Indonesia is a moment for athletes to show themselves in the sports field. The ability of an athlete is influenced by the need for balanced nutrition. Guidance is needed for athletes and athlete managers to apply balanced nutrition to excel. This study designed an application that was then analyzed for its effectiveness in implementing balanced nutrition in the form of an Android-based Athlete's Buddy application. The assessment method used in this application is the ADDIE (Analysis, Design, Develop, Implement, and Evaluate) method. The results of the discussion stated that 85% of application was very feasible to use. Testing applications based on UTAUT2 with indicators of Understand ability, Learnability, Operability, Functionality, Content. So it can be concluded that the ""Athlete's Buddy""application can run well and is expected to be able to help the community and athletes to increase their knowledge, help athletes to control and know the nutrients needed by the body. The implication of this research is the application of digital literacy for athletes in maintaining balanced nutrition. © 2023 Author(s).",2023,American Institute of Physics Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159829830&doi=10.1063%2F5.0139431&partnerID=40&md5=e7ecafc395f1bb156d5cba3ca9a025af,
GPA and Graduation Prediction on Bachelor Degree for Counseling Purposes with Machine Learning Prediction Approach,"Husin, N.; Tjahyaningtijas, H.P.A.; Rakhmawati, L.; Wibawa, R.P.; Sumarno, A.; Warsono, W.P.S.; Paragas, J.R.; Asmunin; al-Habib, H.","At this moment, machine learning (ML) is used concurrently with data mining in many fields, including education. They give improved insight to identify the critical factors from the student that greatly impact student achievement and education quality. In university, research shows that early years are essential for student success in their education. Sadly, not all students can pass these critical times properly. Several indicators can indicate whether students undergo this stage well or not. Currently, the most common method to solve this problem is using an academic advisor (AA) to monitor each student. However, this method's success rate is around 50%. To increase the success of the counseling program, especially in these early times, automated tools are built to check and predict the student's condition. The tools will be a program with machine learning to predict the student's graduation time and final GPA. Even though the technique used on ML is common, the implementation to provide a proper prediction for the counseling purpose gives new insight into how ML could help counseling purposes to help students succeed on their academic journey. The prediction software was designed in mind that credit load does not always correlate with student performance. It is more of a supporting variable, with the prediction weighing more on student GPA as the main variable. The prediction result will help AA to determine those who potentially could have a problem in the future so they can prepare adequately for counseling to help them make sure that they graduate with adequate GPAs and achieve better education. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191343414&doi=10.1109%2FICTECA60133.2023.10490496&partnerID=40&md5=2bc992589df43e19eafd4d4f01002693,
Double-encrypted Watermark Image in Dual Domain for Authentication and Recovery,"Rakhmawati, L.; Tjahyaningtijas, H.P.A.; Yustanti, W.","The authenticity and retrievability of multimedia content must be protected at all costs in the age of digital information exchange and security issues. The use of a double-encrypted watermarking technique in dual domains is a novel method presented in this paper for improving image authentication and recovery. In order to strengthen the security of an image, we present a strong watermarking approach that uses a dual-domain modification process to embed authentication and recovery information into the image. By adding two levels of encryption, the suggested solution increases the integrity of multimedia content's resistance to alteration and illegal access. Through comprehensive testing and analysis, we show how well our strategy works for both verifying the image's source and assisting with its recovery in the event of attacks or distortions. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182395781&doi=10.1109%2FIoTaIS60147.2023.10346055&partnerID=40&md5=cd0d4626180a5987f55f7c8f7257a50c,
A Cross-Sampling Method for Hidden Structure Extraction to Improve Imbalanced Multiclass Classification Accuracy,"Yustanti, W.; Iriawan, N.; Irhamah, I.; Nuryana, I.K.D.; Indriyanti, A.D.","Class prediction problems in classification cases are often faced with irregular data conditions. This research contributes to providing a more structured hidden pattern extraction approach to data sets that already have class labels. The process of taking samples from data collection in this study is called the cross-sampling (CS) technique. The basic idea of this technique is to regroup the data using the appropriate clustering method. This study applied the Mini Batch K-Mean and Spectral algorithms to four public datasets with an imbalanced multiclass distribution. The grouping results are then assigned a label based on the original label reference using the pattern-matching concept on the first principal component through the PCA procedure. The labelling results are then used as external validation for the actual data labels to represent all classes. The validation results produce a confusion matrix used as the basis for the cross-sampling method. The dataset before cross-sampling and the results of cross-sampling were compared to the performance of the classification prediction accuracy using the F1-Score and Area Under Curve (AUC) measurements. The statistical hypothesis testing results show a significant difference in performance before and after the cross-sampling procedure. This difference is demonstrated by the accuracy of all the classification algorithms used, which increased significantly from the average performance value of 82.09% to 96.7%. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182030650&doi=10.1109%2FICVEE59738.2023.10348228&partnerID=40&md5=56bef00adb74e7fed3ee6f4be7cfebf1,
Implementation of Convolutional Neural Network in the Development of Object Recognition System,"Putra, R.E.; Suartana, I.M.; Bisma, R.; Jannah, M.; Maulidiyah, E.C.; Qoiriah, A.","Education, which is the key to success, is often the most valuable inheritance from parents to children. Not infrequently parents are willing to spend a lot of money for the best education for their children. Early Childhood Education which is early education for children does not escape special attention for parents. Rapid child development begins at this stage. In the final era of the Covid-19 pandemic, digital learning applications are expected to be a bridge and a solution to improve children's education, especially in the preschool period. One of the abilities of early childhood that needs to be honed is the introduction of objects around them. This object socialization activity also needs to be supported by object recognition applications to help parents or teachers improve children's abilities. Therefore, we propose an Object Recognition System (OR-Sys) that is connected to a camera to help children recognize objects around them. The image recognition process of surrounding objects requires a reliable classification method. Convolutional Neural Network (CNN), which is the latest development of the Neural Network method, can adopt and improve the advantages possessed by previous methods, especially in terms of classification. In this study, we choose to use two CNN architectures that are quite popular in use, namely GoogLeNet and ResNet. Both architectures play an important role in the success of OR-Sys in carrying out its duties. This can be seen from the high level of accuracy generated by two architectures, which are 91,4% for GoogLeNet and 94,8% for ResNet. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182029369&doi=10.1109%2FICVEE59738.2023.10348202&partnerID=40&md5=18094b5a4d63ffc72781c80d82ef05b3,
Analysis of User Satisfaction of the 'PeduliLindungi' Application Using UTAUT 2 Model (Unified Theory of Acceptance and Use of Technology),"Bisma, R.; Arbaningrum, M.P.; Putra, R.E.; Suartana, I.M.","Related to the problem of the spread of Covid-19 caused by the coronavirus that occurred in society in 2020, an application was created by the Ministry that takes care of health in the Indonesian government with the main feature as a tracker and traces the spread of the Corona Virus called PeduliLindungi. Unfortunately, with all the great features offered, this application gets complaints and dissatisfaction from its users. Therefore, the purpose of this study is to determine the user satisfaction of the PeduliLindungi application. The Unified Theory of Acceptance and Use of Technology (UTAUT) 2 was chosen as a reference for the research conceptual model with known constructs that can be used to measure user acceptance. The Partial Least Squares-Structural Equation Modeling (PLSSEM) method and SmartPLS 3 software were used for data analysis in this study. Of the seven constructs used in this study, four constructs successfully explain Pedulilindungi user satisfaction. The four constructs are Performance Expectations, Hedonic Motivation, Price Value, and Habit. The addition of additional variables outside of the original UTAUT 2 model or external variable model, can explain additional variability for further analysis of technology system acceptance. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182021538&doi=10.1109%2FICVEE59738.2023.10348361&partnerID=40&md5=134b474f4632c20c01c02161a6554c28,
How's Metaverse Applied to Support Business - Systematic Literature Review,"Safitri, A.; Hadi, H.K.; Husin, N.; Esadora Hartanto, A.E.; Purnama, D.W.","The application of the metaverse as a technology to support life is a hot topic these days. This systematic literature review analyzes how the metaverse is used to support business, especially in marketing based on previous research. From the Scopus database, we obtained 11 articles that we reviewed to find how the metaverse applied in marketing to support a business. In this research, we group the types of businesses and the application of the metaverse and marketing strategies to support their business. We draw the conclusion that each type of business has a tendency to use a certain type of metaverse. In each type of metaverse, they use certain marketing strategies to maximize their business. In conclusion, this research suggests a thematic concept of marketing strategies based on metaverse type, that hopefully can be tested and discussed in future research as a guide for implementing marketing strategies through the metaverse. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180804712&doi=10.1109%2FIC2IE60547.2023.10331103&partnerID=40&md5=e3300288d31d711cc2910d2d4e828a18,
Variable on SME Fashion Industry with NFT Blockchain as the Design Protection and Counterfeiting Measurement Using Narrative Analysis,"Safitri, A.; Husin, N.; Fazlurrahman, H.; Dhenabayu, R.; Kautsar, A.; Purwohandoko","NFT development, backed by blockchain technology, is still in motion and ongoing though the hype has cooled off along with the advance of the technology. With the advancement of technology, fashion is also one thing that gets affected. Fashion, one of the human necessities, has given many business opportunities, with the SME fashion industry having a big part in it. With their limited budget, sadly, they didn't have many options to handle some of the biggest challenges in the fashion industry, which poached design and counterfeiting. Fortunately, NFT has given some solutions that could help cope with those problems. The NFT with blockchain technology could be used to protect how it works by making a unique signature to the digitized asset it is associated with. Real physical goods could be linked to the digitized version with NFT technology for recognition and protective purpose. It will help prove the digital goods' ownership and the linked physical ones. This paper sought to find out what variables affect the fashion SME industry with the NFT as the design protection and counterfeit measurement by using the qualitative narrative analysis from the data gathered using the conducted storytelling interview. The variable will then be compared with the previous study's findings for further analysis and results. © 2023 IEEE.",2023,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175647937&doi=10.1109%2FICoDSA58501.2023.10277308&partnerID=40&md5=e4288be8e53d04b7ee1fc6348a6a9e49,
Novel hybrid prairie dog optimization algorithm-marine predator algorithm for tuning parameters power system stabilizer,"Aribowo, W.; Rohman, M.; Baskoro, F.; Harimurti, R.; Yamasari, Y.; Yustanti, W.","The article presents the parameter tuning of the Power System Stabilizer (PSS) using the hybrid method. The hybrid methods proposed in this article are Praire Dog Optimization (PDO) and Marine Predator Algorithm (MPA). The proposed method can be called PDOMPA. In the PDOMPA method, the marine predator algorithm (MPA) is able to search around optimal individuals when updating population positions. MPA is used to make the exploration and exploitation stages of PDO more valid and accurate. PDO is an algorithm inspired by the life of prairie dogs. Prairie dogs are adapted to colonizing in burrows underground. Prairie dogs have daily habits of eating, observing for predators, establishing fresh burrows, or preserving existing ones. Meanwhile, MPA is a duplication of marine predator life which is modeled mathematically. In order to validate the performance of the PDOMPA method, this article presents a comparative simulation of the objective function and the transient response of PSS. This research uses validation by comparing with conventional methods, Whale Optimization Algorithm (WOA), Grasshopper Optimization Algorithm (GOA), Marine Predator Algorithm (MPA), and Praire Dog Optimization (PDO). Based on the simulation results, PDOMPA presents fast convergence in some cases and shows optimal results compared to competitive algorithms. From the simulation results using load variations, it was found that the proposed method has the ability to reduce the average undershoot and overshoot of speed by 42.2% and 85.37% compared to the PSS-Lead Lag method. Meanwhile the average settling time value of speed is 50.7%. © 2023 Department of Agribusiness, Universitas Muhammadiyah Yogyakarta. All rights reserved",2023,"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175645188&doi=10.18196%2Fjrc.v4i5.19521&partnerID=40&md5=9723836de880a46bc838e54781db8178,
Imbalanced learning of remotely sensed data for bioenergy source identification in a forest in the Wallacea region of Indonesia,"Kurniawan, I.F.; He, F.; Dunggio, I.; Hamidun, M.S.; Sirajuddin, Z.; Aziz, M.; Asyhari, A.T.","Remote sensing technologies have been increasingly crucial to support policy-makers in achieving their ecological strategies. The data provided by such technology can estimate the bioenergy source production rate and monitor deforestation. This work participates in the cause by contributing an aerial dataset and developing an intelligent tree-detection system usable for counting trees with the bioenergy potential. Low-altitude flying units have been vastly used for such a purpose due to their ability to capture high-quality data from distant locations. Despite these potentials, collected images that compose a dataset are often characterized by imbalanced distribution among classes. The class disproportion can affect the overall model performance, as it severely deprives key features of under-represented classes. This study proposes data-level approaches that adopt and extend prior sampling algorithms for object detection problems. The devised techniques try to reduce the number of redundant outputs obtained from sampling methods and reduce the iteration required to achieve the target imbalance ratio by employing a systematic flow. In such a process, the class distribution of an original dataset is used as a guideline for selecting candidates for subsequent processes. Our results show that the modified dataset can reduce the length of a training process shown by fewer iterations required to achieve the final metrics of its original dataset version and lower training losses in each iteration. Additionally, the modified dataset can improve the F-score ((Formula presented.)) and precision metric of object detection algorithm by up to 6%. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",2023,Taylor and Francis Ltd.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174863604&doi=10.1080%2F2150704X.2023.2270107&partnerID=40&md5=b0ad6332d83568c0a6284dfcec7be768,
A Block-Based Image Characteristics Robust Watermarking with Optimal Embeddable AC Coefficient,"Rakhmawati, L.; Tjahyaningtijas, H.P.A.; Wiryanto, W.; Yustanti, W.","Due to extensive Internet usage, digital media can be quickly altered, copied, and distributed via information networks. As a result, digital information's illicit reproduction became a serious issue. As a means of copyright protection for digital media, digital watermarking has been demonstrated to be effective. Based on a discrete cosine transform (DCT), an improved robust watermarking technique considering image characteristics, a 1-D linear transformation, and an optimal embeddable AC coefficient is proposed in this paper. The host image is first divided into 8 x 8 non-overlapping block and block selection for DCT transformation is performed. The variance in each block is used to identify the embedding watermark location. A linear map is used to scramble the watermark image, which is embedded into the AC coefficients which has a maximum difference between embeddable and non-embeddable non-zero AC coefficients. Experiment results show that the suggested approach can withstand a range of a nonmalicious attack with very satisfactory results for BER close to 0, and NC near to 1. © 2023, International Journal of Intelligent Engineering and Systems. All Rights Reserved.",2023,Intelligent Network and Systems Society,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164572712&doi=10.22266%2Fijies2023.0831.38&partnerID=40&md5=23343f5265180b7a5852ee8174c99c2a,
Wall Crack Multiclass Classification: Expertise-Based Dataset Construction and Learning Algorithms Performance Comparison,"Wibowo, A.P.; Adha, A.; Kurniawan, I.F.; Laory, I.","Wall crack detection is one of the primary tasks in determining the structural integrity of a building for both restorative and preventive attempts. Machine learning techniques, such as deep learning (DL) with computer vision capabilities, have gradually become more prevalent as they can provide expert assessments with an acceptable performance when the crack detection involves a considerable number of structures. Despite such a prospective application, classification on different types of wall cracks is relatively less common, possibly due to the absence of the professional-standard-to-dataset translation. In this work, we utilised a complete pipeline, starting from novel dataset construction, ground truth formulation based on civil engineering standards, and training and testing steps. Our work focused on multi-class classification with regard to the binary classification (i.e., determining only two categories) used in previous studies. We implemented transfer learning based on VGG16 and RestNET50 for feature extraction, combined them with an ANN and kNN for the classifier, and compared their prediction performances. Our results indicate that the developed models can distinguish images that contain wall cracks into three categories of features based on the degree of damage: light, medium, and severe. Furthermore, since greyscale images offer more precise readings and predictions, the use of augmentation in dataset generation is critical. Although ResNet50 is the most stable network in terms of accuracy, it performs better when paired with kNN. © 2022 by the authors.",2022,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144883673&doi=10.3390%2Fbuildings12122135&partnerID=40&md5=82db2dbb8622c37f1a44aa39df9a92ac,
A Hybrid Evaluation Index Approach in Optimizing Single Tuition Fee Cluster Validity,"Yustanti, W.; Iriawan, N.; Irhamah, I.","The grouping of the socio-economic level of new students at the time of registration at public universities is a problem faced by all state universities. Identifying the right group will have an impact on the students and the university. The quality of the results of a valid grouping will give a sense of fairness to the parents of students in paying tuition fees. On the other hand, the university also expects that the results of a valid grouping will contribute to optimal revenue. This study aims to evaluate the cluster structure of a single tuition fee at the State University of Surabaya. The existing cluster structure is compared with the results of grouping using nine clustering methods, namely K-Mean, Hierarchical, BIRCH, DBSCAN, Mini Batch K-Mean, Mean Shift, OPTICS, Spectral Clustering, and Mixture Gaussian. The proposed evaluation method is a combination of three evaluation concepts, namely internal validity (Silhouette-Index), external validity (Rand Index), and the percentage conformity value to the expected income factor (Revenue-Index). These three indicators are then calculated as the average value for each clustering method as Hybrid-Index. The highest Hybrid-Index is shown by the Mini Batch K-Mean algorithm, with an average value of 0.6420, so the Mini Batch K-Mean algorithm can be recommended as a method for grouping single tuition fees. © 2022 IEEE.",2022,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150427043&doi=10.1109%2FICITISEE57756.2022.10057653&partnerID=40&md5=398c6d7655d2bc82d0118f8cd9b7e5a4,
Block-Based Image Reversible Data Hiding Based on the Visual Feature and Edge Entropy,"Rakhmawati, L.; Tjahyaningtijas, H.P.A.; Yustanti, W.","Due to the widespread usage of the Internet, electronic information can be quickly altered, duplicated, and shared across interconnection. As a result, the unauthorized reproduction of digital material became a severe issue. Reversible data hiding (RDH) was a practical way of protecting digital media's copyright. This research presents an enhanced DCT-based RDH method that considers human visual features. A less uniform block was used for the information embedding to achieve high imperceptibility for a block based RDH technique. The testing findings of the suggested technique shown a better increase in robustness and non - repudiation under various kinds of image alteration procedures. © 2022 IEEE.",2022,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144629642&doi=10.1109%2FIEIT56384.2022.9967877&partnerID=40&md5=52b7c60bfa5128513be834beb6cccea6,
Brain Tumor Classification Using Transfer Learning,"Rochmawati, N.; Hidayati, H.B.; Yamasari, Y.; Yustanti, W.; Suartana, I.M.; Prihanto, A.; Prapanca, A.","One type of deadly disease is a brain tumor. To determine the presence of a brain tumor, it can be seen from an MRI image. In this research, we classified brain tumor MRI. The classification system uses transfer learning because only a few datasets are used. The Pre-Trained models used to extract features are VGG-16 and ResNet-50. Tests are carried out using several different parameters such as different batch sizes, optimizers, and learning rates. We evaluate the results using the confusion matrix. VGG-16 got the best accuracy of 0.96 using the Adam optimizer and ResNet-50 got the best accuracy of 0.94 using the RMSprop optimizer. From several different parameter variations, there is a relationship between parameter selection and accuracy results. © 2022 IEEE.",2022,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142432027&doi=10.1109%2FICVEE57061.2022.9930403&partnerID=40&md5=83f6f42ea346d751eaf11e86e4ada14f,
Mobile computing and communications-driven fog-assisted disaster evacuation techniques for context-aware guidance support: A survey,"Kurniawan, I.F.; Asyhari, A.T.; He, F.; Liu, Y.","The importance of an optimal solution for disaster evacuation has recently raised attention from researchers across multiple disciplines. This is not only a serious, but also a challenging task due to the complexities of the evacuees’ behaviors, route planning, and demanding coordination services. Although existing studies have addressed these challenges to some extent, mass evacuation in natural disasters tends to be difficult to predict and manage due to the limitation of the underlying models to capture realistic situations. It is therefore desirable to have on-demand mechanisms of locally-driven computing and data exchange services in order to enable near real-time capture of the disaster area during the evacuation. For this purpose, this paper comprehensively surveys recent advances in information and communication technology-enabled disaster evacuations, with the focus on fog computation and communication services to support a massive evacuation process. A numerous variety of tools and techniques are encapsulated within a coordinated on-demand strategy of an evacuation platform, which is aimed to provide a situational awareness and response. Herein fog services appear to be one of the viable options for responsive mass evacuation because they enable low latency data processing and dissemination. They can additionally provide data analytics support for autonomous learning for both the short-term guidance supports and long-term usages. This work extends the existing data-oriented framework by outlining comprehensive functionalities and providing seamless integration. We review the principles, challenges, and future direction of the state-of-the-art strategies proposed to sit within each functionality. Taken together, this survey highlights the importance of adaptive coordination and reconfiguration within the fog services to facilitate responsive mass evacuations as well as open up new research challenges associated with analytics-embedding network and computation, which is critical for any disaster recovery activities. © 2021 Elsevier B.V.",2021,Elsevier B.V.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114128363&doi=10.1016%2Fj.comcom.2021.07.020&partnerID=40&md5=84d11536516b44be6fd8cc30592d0baa,
Clustering the Students' Behavior on the e-Learning using the Density-Based Algorithm,"Yamasari, Y.; Qoiriah, A.; Rochmawati, N.; Yustanti, W.; Wintarti, A.; Ahmad, T.","The corona pandemic has changed the learning method from conventional to a more flexible one, such as through the internet. Consequently, students may have less direct interaction with teachers. This condition has made it difficult for teachers to monitor the students' behavior. This research works on this problem by focussing on the clustering of students' behavior using the DBSCAN, which is a density-based algorithm. Noises generated in this process can be considered students who do the uncommon behavior when taking the e-Learning system. Further, we evaluate the resulted clusters using the silhouette index to find their quality. The experimental result shows that the DBSCAN can differentiate clusters containing noises. By taking the silhouette index, the Manhattan distance parameter is superior to that of Euclidean.. © 2021 IEEE.",2021,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118921255&doi=10.1109%2FiSemantic52711.2021.9573234&partnerID=40&md5=951e33338ad980c4116064ab741ea25b,
Predicting the Students Performance using Regularization-based Linear Regression,"Yamasari, Y.; Rochmawati, N.; Putra, R.E.; Qoiriah, A.; Asmunin; Yustanti, W.","The corona pandemic changes the education paradigm from offline- to online learning. This situation causes a crucial problem in the evaluation process of student outcome learning. A valid enough evaluation is difficult to achieve because of the lack of face-to-face between teachers and students. However, this stage is critical in the education and teaching process. Therefore, our research focuses on building a prediction model of students' performance for supporting the teacher in the evaluation process. The prediction model is created by linear regression based on Regularization. Further, we explore three regularizations, namely: ridge, lasso, and elastic net, to find the best performance of the model. The evaluation technique used is random sampling with various training set sizes. In addition, we determine the different values of alpha to discover the best model. The experimental results show that the ridge regularization model's prediction error rate is lower than the lasso and elastic net Regularization. The results of measuring values using MSE, RMSE, MAE, and R2 show that the prediction model built using ridge regularization is superior to the others. © 2021 IEEE.",2021,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124417209&doi=10.1109%2FICVEE54186.2021.9649704&partnerID=40&md5=6d1415087493324145e1a170e0686cc2,
Investigating Cyber Security Factors Influencing the Perception Behavioral Intention of Small and Medium Enterprise,"Bisma, R.; Winarto, S.R.; Puspita, Y.C.","Technological developments have touched various fields of human life, including the economic field. Especially in the midst of the covid-19 pandemic, which has a big impact on micro, small and medium entrepreneurs (MSMEs) who have to look for innovations to stay in their business in the midst of a pandemic. Changes in behavior and habits that were initially far from technology, and the arrival of a pandemic that limited many things, especially in communicating between humans, made technology one of the best solutions. But in the use of technology, there is a danger that targets MSMEs, especially those who are new to using technological devices, namely cyber security. The main question is how SMEs perceive cyber security. This study aims to determine the perception of MSMEs on cyber security by using the Protection Motivation Theory (PMT) model. Data is collected through surveys. By using a quantitative approach, the data were analyzed using the Smart-PLS software. There are several variables raised in the study which are suspected of having an influence on Protective Behavioral Intention. Based on the results of the study indicate that the variables Perceived Severity (PS) and Self-Efficacy (SE) have a significant and positive effect on Protective Behavioral Intention (PBI). This study also shows that the use of information technology by MSMEs has begun to spread, but there is still no cyber security awareness found, so there is still no planning or mitigation of threats or risks (risk management). © 2021 IEEE.",2021,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124401307&doi=10.1109%2FICVEE54186.2021.9649719&partnerID=40&md5=e0a3405e6654bfcd14c2cc51bbe14689,
Clustering Students in the Online Learning Climate based on Internal and External Factors,"Yustanti, W.; Rochmawati, N.; Yamasari, Y.; Qoiriah, A.","The online learning environment is becoming a solution, growing in popularity, and accommodating variety of student lifestyles. This study wants to explain the profile of students who take online lectures based on internal and external factors that affect the learning process. Types of variables on internal and external factors have been found in previous studies. In this study, 22 variables were used with 15 indicators for internal factors, 7 indicators for external factors, and 91 data obtained from students who took the database course with the unsupervised learning approach for the clustering process. and getting the optimal number of clusters k=4. © 2021 IEEE.",2021,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124397860&doi=10.1109%2FICVEE54186.2021.9649723&partnerID=40&md5=a911b002c0800fb6afdab33fed8a8846,
Energy Optimization on Joint Task Computation Using Genetic Algorithm,"Kurniawan, I.F.; Asyhari, A.T.; He, F.","Joint computation is a form of collaborative job execution running at separate physical units, which are previously grouped by their unique functionalities. While existing studies have mainly utilized joint computation with direct coordination between nodes in different segments, it is worth considering another scenario where an additional node within a layer relays data to another layer. As a consequence, the node can serve as an aggregation point for data capture units prior to transmission to the sink node. However, this new arrangement produces additional transmission paths and can thus cause additional energy spending. This pilot study investigates the joint computation problem aiming at optimizing energy consumption. Relevant components, such as computation and communication, are taken into account and modeled into formal representation. A genetic algorithm-based solution is then used as a tool to optimize parameter setup. According to the experiment results, the metaheuristic algorithm has potential to achieve the optimal system configuration, emphasizing the data length that affects the final energy spending on communications. However, the algorithm cannot always guarantee the optimality as it relies on the random variable used in the process. © 2020 IEEE.",2020,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102087356&doi=10.1109%2FETCCE51779.2020.9350886&partnerID=40&md5=3547b7b616395c2e5b1d337ceeebc464,
Covid Symptom Severity Using Decision Tree,"Rochmawati, N.; Hidayati, H.B.; Yamasari, Y.; Yustanti, W.; Rakhmawati, L.; Tjahyaningtijas, H.P.A.; Anistyasari, Y.","Corona is a very contagious virus. In a pandemic like this, people often worry whether they are infected or not. When they cough, they often worry whether it is a sign of covid-19 or an ordinary cough. From the clinical symptoms can actually be known whether someone has Covid or not. In thisstudy, a clinical symptom dataset will be used to classify the symptoms using a Decision Tree algorithm. The decision trees used in this research are J48 and Hoeffding Tree. Decision Tree is one of the most popular classification methods because it is easy to interpret by Humans. the prediction model uses a hierarchical structure. The concept is to convert data into decision trees or decision rules. the result of J48 were slightly better than the Hoeffding tree in terms of accuracy, precision, and recall. Meanwhile, from the tree view results, the Hoeffding Tree is simpler and the numberof nodes is less than J48. © 2020 IEEE.",2020,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096704704&doi=10.1109%2FICVEE50212.2020.9243246&partnerID=40&md5=ab57305cf0eaa148bc97eaf6d68d992c,
